latitude,longitude,bright_ti4,frp,confidence,datetime
-40.01019,175.51991,331.09,2.36,nominal,2024-01-17 02:53:00
-28.49219,148.02907,367.0,23.98,high,2024-01-17 02:57:00
-28.49811,148.03496,341.18,13.4,nominal,2024-01-17 02:57:00
-28.49844,148.02945,367.0,13.9,high,2024-01-17 02:57:00
-28.50469,148.02986,356.44,13.9,low,2024-01-17 02:57:00
-28.50436,148.03535,339.33,13.4,nominal,2024-01-17 02:57:00
-28.2829,151.90846,330.33,10.01,nominal,2024-01-17 02:57:00
-30.8626,151.67731,328.88,6.29,nominal,2024-01-17 02:57:00
-28.49252,148.02357,367.0,23.98,high,2024-01-17 02:57:00
-28.49286,148.01808,367.0,26.44,high,2024-01-17 02:57:00
-24.21577,148.54344,331.96,5.75,nominal,2024-01-17 03:00:00
-26.1713,150.85078,335.87,4.48,nominal,2024-01-17 03:00:00
-26.17736,150.84123,330.35,6.98,nominal,2024-01-17 03:00:00
-26.17676,150.84804,331.52,9.15,nominal,2024-01-17 03:00:00
-26.17706,150.84465,367.0,9.15,high,2024-01-17 03:00:00
-27.06884,150.46556,330.69,10.96,low,2024-01-17 03:00:00
-27.3058,152.04047,340.62,8.19,nominal,2024-01-17 03:00:00
-27.50123,150.08514,367.0,7.66,high,2024-01-17 03:00:00
-27.50672,150.08565,331.75,7.66,nominal,2024-01-17 03:00:00
-24.21603,148.5388,332.52,8.56,nominal,2024-01-17 03:00:00
-24.20985,148.54272,333.17,12.18,low,2024-01-17 03:00:00
-24.21021,148.53828,333.47,8.56,low,2024-01-17 03:00:00
-24.2116,148.5206,330.84,13.83,low,2024-01-17 03:00:00
-24.21539,148.54788,329.63,5.75,low,2024-01-17 03:00:00
-24.21615,148.53903,333.02,8.78,low,2024-01-17 03:00:00
-24.20957,148.54739,330.39,5.75,low,2024-01-17 03:00:00
-24.20995,148.54295,333.28,5.75,low,2024-01-17 03:00:00
-24.21033,148.53853,333.56,8.78,low,2024-01-17 03:00:00
-24.21184,148.52089,330.87,6.82,low,2024-01-17 03:00:00
-24.21222,148.51643,329.47,6.82,low,2024-01-17 03:00:00
-24.20451,148.53801,331.34,14.7,low,2024-01-17 03:00:00
-23.57735,149.45227,341.69,4.54,nominal,2024-01-17 03:00:00
-23.08027,149.34567,355.09,12.39,nominal,2024-01-17 03:00:00
-23.0806,149.3419,355.68,12.39,nominal,2024-01-17 03:00:00
-23.08093,149.33812,326.14,6.92,nominal,2024-01-17 03:00:00
-23.0794,149.34502,367.0,10.32,high,2024-01-17 03:00:00
-23.07975,149.34126,347.59,10.32,nominal,2024-01-17 03:00:00
-25.63325,151.90086,329.43,18.93,low,2024-01-17 03:00:00
-25.61928,151.89708,326.63,13.14,low,2024-01-17 03:00:00
-25.67442,150.28896,335.68,6.98,nominal,2024-01-17 03:00:00
-25.67474,150.28532,356.54,11.65,nominal,2024-01-17 03:00:00
-25.6691,150.2885,367.0,11.7,high,2024-01-17 03:00:00
-25.66848,150.29579,338.34,11.0,nominal,2024-01-17 03:00:00
-25.66879,150.29214,350.56,11.7,nominal,2024-01-17 03:00:00
-25.66942,150.28487,351.78,14.43,nominal,2024-01-17 03:00:00
-25.52757,148.54576,367.0,17.44,high,2024-01-17 03:00:00
-25.52167,148.54532,367.0,17.44,high,2024-01-17 03:00:00
-25.22663,146.7011,330.56,20.0,nominal,2024-01-17 03:00:00
-24.83292,150.15233,329.63,5.71,low,2024-01-17 03:00:00
-24.77194,149.88455,354.79,12.57,nominal,2024-01-17 03:00:00
-24.77225,149.88104,340.06,9.53,nominal,2024-01-17 03:00:00
-24.41789,148.51146,328.45,7.92,low,2024-01-17 03:00:00
-24.41642,148.3152,338.76,8.08,nominal,2024-01-17 03:00:00
-24.41051,148.31464,367.0,13.75,high,2024-01-17 03:00:00
-24.41126,148.30548,343.14,17.46,nominal,2024-01-17 03:00:00
-24.41163,148.30095,328.49,16.47,nominal,2024-01-17 03:00:00
-24.40385,148.32329,340.78,17.08,nominal,2024-01-17 03:00:00
-24.40423,148.31863,340.73,13.75,nominal,2024-01-17 03:00:00
-24.40461,148.31403,333.84,13.75,nominal,2024-01-17 03:00:00
-24.40535,148.3049,351.24,17.46,nominal,2024-01-17 03:00:00
-24.21568,148.54324,332.03,12.18,low,2024-01-17 03:00:00
-35.02088,142.30267,335.01,4.3,nominal,2024-01-17 04:38:00
-35.01574,142.28595,342.87,5.28,nominal,2024-01-17 04:38:00
-35.01355,142.297,347.19,10.03,nominal,2024-01-17 04:38:00
-35.01244,142.30252,338.9,6.77,nominal,2024-01-17 04:38:00
-35.01619,142.30359,339.41,5.46,nominal,2024-01-17 04:38:00
-35.01508,142.30913,353.75,5.46,nominal,2024-01-17 04:38:00
-35.02321,142.28813,337.23,5.63,nominal,2024-01-17 04:38:00
-35.02102,142.29916,341.94,11.11,nominal,2024-01-17 04:38:00
-35.01883,142.31021,335.87,5.46,nominal,2024-01-17 04:38:00
-35.02694,142.2892,336.03,7.2,nominal,2024-01-17 04:38:00
-35.0274,142.30685,335.79,9.59,nominal,2024-01-17 04:38:00
-35.01608,142.30713,342.75,8.1,nominal,2024-01-17 04:38:00
-35.01554,142.28944,336.64,4.32,nominal,2024-01-17 04:38:00
-33.00711,137.58098,338.71,4.3,nominal,2024-01-17 04:38:00
-32.99997,137.58913,333.33,9.04,low,2024-01-17 04:38:00
-35.01234,142.30603,337.01,3.96,nominal,2024-01-17 04:38:00
-35.0134,142.30049,336.81,7.0,nominal,2024-01-17 04:38:00
-35.02195,142.29715,335.65,4.3,nominal,2024-01-17 04:38:00
-25.528,148.54877,330.33,6.68,nominal,2024-01-17 04:40:00
-25.52315,148.54088,334.43,6.46,nominal,2024-01-17 04:40:00
-25.52165,148.54678,338.81,6.46,nominal,2024-01-17 04:40:00
-25.52948,148.54292,333.82,6.68,nominal,2024-01-17 04:40:00
-25.52253,148.54291,335.65,8.13,nominal,2024-01-17 04:40:00
-25.52887,148.54495,350.35,13.38,nominal,2024-01-17 04:40:00
-21.684,121.68431,337.15,35.75,nominal,2024-01-17 04:42:00
-21.66493,121.91483,344.07,7.85,nominal,2024-01-17 04:42:00
-21.66451,121.91976,346.47,7.85,nominal,2024-01-17 04:42:00
-21.6641,121.92471,349.04,8.92,nominal,2024-01-17 04:42:00
-21.66369,121.92964,341.07,8.92,nominal,2024-01-17 04:42:00
-21.66328,121.9346,350.48,8.32,nominal,2024-01-17 04:42:00
-21.66286,121.93951,336.88,8.32,nominal,2024-01-17 04:42:00
-21.66245,121.94447,338.2,8.37,nominal,2024-01-17 04:42:00
-21.68358,121.68941,367.0,35.75,high,2024-01-17 04:42:00
-21.6902,121.68484,340.4,11.4,nominal,2024-01-17 04:42:00
-21.67104,121.91538,341.09,13.2,nominal,2024-01-17 04:42:00
-21.67022,121.92525,340.22,9.2,nominal,2024-01-17 04:42:00
-21.66897,121.94005,341.21,9.05,nominal,2024-01-17 04:42:00
-21.66814,121.94991,338.96,10.24,nominal,2024-01-17 04:42:00
-21.67757,121.91098,340.64,8.81,nominal,2024-01-17 04:42:00
-21.70644,122.14381,356.52,25.25,low,2024-01-17 04:42:00
-21.70728,122.13432,336.07,7.84,nominal,2024-01-17 04:42:00
-21.70686,122.13905,345.78,7.84,nominal,2024-01-17 04:42:00
-21.71373,122.13026,341.6,9.5,nominal,2024-01-17 04:42:00
-21.71331,122.13496,367.0,16.34,high,2024-01-17 04:42:00
-21.71289,122.13969,367.0,16.34,high,2024-01-17 04:42:00
-21.7089,122.14133,359.08,19.11,low,2024-01-17 04:42:00
-21.70968,122.13184,339.55,9.67,nominal,2024-01-17 04:42:00
-21.70929,122.13658,336.77,9.67,nominal,2024-01-17 04:42:00
-21.70851,122.14609,356.59,19.11,nominal,2024-01-17 04:42:00
-21.7157,122.13258,342.86,9.67,nominal,2024-01-17 04:42:00
-21.71531,122.13727,367.0,9.67,high,2024-01-17 04:42:00
-21.89088,120.98148,350.92,15.32,nominal,2024-01-17 04:42:00
-21.90573,120.95903,330.23,8.93,nominal,2024-01-17 04:42:00
-21.90479,120.97063,333.89,17.31,nominal,2024-01-17 04:42:00
-21.90526,120.9648,367.0,8.93,high,2024-01-17 04:42:00
-21.91175,120.96523,337.86,8.93,nominal,2024-01-17 04:42:00
-21.90581,120.96183,351.72,20.56,nominal,2024-01-17 04:42:00
-21.90538,120.96765,343.57,9.08,nominal,2024-01-17 04:42:00
-21.90494,120.97353,332.37,9.08,nominal,2024-01-17 04:42:00
-21.91187,120.96806,340.85,9.08,nominal,2024-01-17 04:42:00
-22.20548,120.41171,352.25,9.53,nominal,2024-01-17 04:42:00
-22.20499,120.41797,331.43,9.53,nominal,2024-01-17 04:42:00
-22.20876,120.41174,345.08,12.88,nominal,2024-01-17 04:42:00
-22.20831,120.41801,339.86,9.3,nominal,2024-01-17 04:42:00
-22.20747,120.95575,367.0,19.27,high,2024-01-17 04:42:00
-19.77,142.58975,334.46,5.54,nominal,2024-01-17 04:42:00
-19.76865,142.59624,333.64,8.46,nominal,2024-01-17 04:42:00
-19.7673,142.60274,341.52,7.7,nominal,2024-01-17 04:42:00
-19.77512,142.59094,343.22,5.54,nominal,2024-01-17 04:42:00
-19.77445,142.59421,338.65,8.46,nominal,2024-01-17 04:42:00
-21.05643,119.21661,330.16,25.38,nominal,2024-01-17 04:42:00
-21.04882,119.22329,331.08,7.76,nominal,2024-01-17 04:42:00
-21.02652,119.23608,332.04,9.45,nominal,2024-01-17 04:42:00
-21.67643,121.71095,367.0,16.73,high,2024-01-17 04:42:00
-21.02913,119.23834,332.87,8.34,nominal,2024-01-17 04:42:00
-21.02968,119.23116,330.8,6.61,nominal,2024-01-17 04:42:00
-21.67867,121.68564,343.56,10.3,nominal,2024-01-17 04:42:00
-21.65032,121.65249,342.31,14.79,nominal,2024-01-17 04:42:00
-21.65076,121.64735,354.31,13.35,nominal,2024-01-17 04:42:00
-21.64455,121.64686,356.51,19.19,low,2024-01-17 04:42:00
-21.31224,123.90971,351.76,8.97,nominal,2024-01-17 04:42:00
-21.56776,120.22646,333.3,5.97,nominal,2024-01-17 04:42:00
-21.53024,120.23679,335.59,11.16,nominal,2024-01-17 04:42:00
-21.07061,119.21781,332.69,16.82,nominal,2024-01-17 04:42:00
-21.06246,119.23173,356.4,28.81,low,2024-01-17 04:42:00
-21.06299,119.22452,356.43,25.38,low,2024-01-17 04:42:00
-21.05539,119.23102,342.18,28.81,nominal,2024-01-17 04:42:00
-21.05591,119.22383,337.3,25.38,nominal,2024-01-17 04:42:00
-21.64964,121.64537,358.79,24.86,low,2024-01-17 04:42:00
-21.64924,121.65049,355.13,27.9,nominal,2024-01-17 04:42:00
-21.6778,121.68381,336.81,35.75,nominal,2024-01-17 04:42:00
-21.67572,121.70919,343.68,11.57,nominal,2024-01-17 04:42:00
-21.67531,121.71426,341.42,10.74,nominal,2024-01-17 04:42:00
-33.99449,115.51538,355.8,9.2,nominal,2024-01-17 06:20:00
-34.01246,115.49944,367.0,26.4,high,2024-01-17 06:20:00
-34.0042,115.54426,344.03,36.06,nominal,2024-01-17 06:20:00
-34.00972,115.51432,353.65,63.54,nominal,2024-01-17 06:20:00
-34.01064,115.50936,354.23,23.46,nominal,2024-01-17 06:20:00
-34.01337,115.4945,356.29,26.4,nominal,2024-01-17 06:20:00
-34.01428,115.48958,356.36,95.5,nominal,2024-01-17 06:20:00
-34.00154,115.53826,367.0,373.69,high,2024-01-17 06:20:00
-34.00247,115.53326,367.0,373.69,high,2024-01-17 06:20:00
-34.0034,115.52825,367.0,203.66,high,2024-01-17 06:20:00
-34.00615,115.51332,367.0,63.54,high,2024-01-17 06:20:00
-34.00706,115.50838,367.0,23.46,high,2024-01-17 06:20:00
-34.00523,115.51828,351.92,63.54,nominal,2024-01-17 06:20:00
-34.00797,115.50343,355.6,23.46,nominal,2024-01-17 06:20:00
-34.00888,115.4985,356.07,26.4,nominal,2024-01-17 06:20:00
-34.00979,115.49357,355.86,26.4,nominal,2024-01-17 06:20:00
-34.0107,115.48864,367.0,95.5,low,2024-01-17 06:20:00
-33.99795,115.53731,367.0,138.69,high,2024-01-17 06:20:00
-34.00257,115.51234,367.0,20.26,high,2024-01-17 06:20:00
-34.00348,115.50739,367.0,14.63,high,2024-01-17 06:20:00
-34.00439,115.50249,367.0,14.63,high,2024-01-17 06:20:00
-33.98781,115.5921,342.66,47.98,nominal,2024-01-17 06:20:00
-33.98872,115.58714,334.39,9.43,nominal,2024-01-17 06:20:00
-34.00165,115.51733,356.44,20.26,nominal,2024-01-17 06:20:00
-34.0053,115.49757,351.61,21.92,nominal,2024-01-17 06:20:00
-34.00621,115.49264,356.26,21.92,nominal,2024-01-17 06:20:00
-33.9998,115.5273,367.0,69.28,low,2024-01-17 06:20:00
-33.99714,115.52135,367.0,69.28,high,2024-01-17 06:20:00
-33.99807,115.51635,367.0,20.26,high,2024-01-17 06:20:00
-33.99899,115.51138,367.0,20.26,high,2024-01-17 06:20:00
-33.9999,115.50645,367.0,14.63,high,2024-01-17 06:20:00
-34.00081,115.50153,367.0,14.63,high,2024-01-17 06:20:00
-34.00172,115.49661,367.0,21.92,high,2024-01-17 06:20:00
-33.98329,115.5961,351.13,47.98,nominal,2024-01-17 06:20:00
-33.98514,115.58614,336.26,9.43,nominal,2024-01-17 06:20:00
-33.99529,115.53135,343.34,138.69,nominal,2024-01-17 06:20:00
-33.99622,115.52637,354.41,69.28,nominal,2024-01-17 06:20:00
-33.98421,115.59113,367.0,47.98,low,2024-01-17 06:20:00
-33.99437,115.53634,367.0,138.69,low,2024-01-17 06:20:00
-33.99263,115.5254,367.0,7.95,high,2024-01-17 06:20:00
-33.99541,115.51041,367.0,9.2,high,2024-01-17 06:20:00
-33.97877,115.60014,339.25,9.9,nominal,2024-01-17 06:20:00
-33.97969,115.59513,354.85,35.12,nominal,2024-01-17 06:20:00
-33.98895,115.54527,342.82,5.55,nominal,2024-01-17 06:20:00
-33.98987,115.54031,342.33,5.55,nominal,2024-01-17 06:20:00
-33.99079,115.53535,347.28,5.54,nominal,2024-01-17 06:20:00
-33.99171,115.5304,347.42,5.54,nominal,2024-01-17 06:20:00
-33.99356,115.52039,352.24,7.95,nominal,2024-01-17 06:20:00
-33.99632,115.50548,354.26,8.49,nominal,2024-01-17 06:20:00
-33.99723,115.50056,351.71,8.49,nominal,2024-01-17 06:20:00
-33.99814,115.49566,343.01,5.49,nominal,2024-01-17 06:20:00
-33.98063,115.59013,367.0,35.12,low,2024-01-17 06:20:00
-33.97703,115.58915,341.9,35.12,nominal,2024-01-17 06:20:00
-33.97796,115.58418,333.78,6.84,low,2024-01-17 06:20:00
-33.97888,115.5792,340.88,6.84,nominal,2024-01-17 06:20:00
-33.9798,115.57426,339.25,6.04,nominal,2024-01-17 06:20:00
-33.98072,115.5693,341.44,6.04,nominal,2024-01-17 06:20:00
-33.98165,115.56432,337.19,11.46,low,2024-01-17 06:20:00
-33.98351,115.55433,340.07,7.66,low,2024-01-17 06:20:00
-33.98443,115.54932,341.25,7.66,low,2024-01-17 06:20:00
-33.98537,115.5443,345.66,5.55,nominal,2024-01-17 06:20:00
-33.98629,115.53933,342.58,5.55,nominal,2024-01-17 06:20:00
-33.98721,115.53439,338.02,5.54,low,2024-01-17 06:20:00
-33.98813,115.52941,336.32,5.54,nominal,2024-01-17 06:20:00
-33.98906,115.5244,343.21,7.95,nominal,2024-01-17 06:20:00
-33.98999,115.5194,342.26,7.95,nominal,2024-01-17 06:20:00
-33.99091,115.51441,348.49,9.2,nominal,2024-01-17 06:20:00
-33.99183,115.50944,351.43,9.2,nominal,2024-01-17 06:20:00
-33.99274,115.50454,350.43,8.49,nominal,2024-01-17 06:20:00
-33.99365,115.4996,345.64,8.49,nominal,2024-01-17 06:20:00
-33.99456,115.49467,341.8,5.49,nominal,2024-01-17 06:20:00
-33.97437,115.58322,330.54,3.34,low,2024-01-17 06:20:00
-33.97529,115.57825,335.76,3.34,nominal,2024-01-17 06:20:00
-33.97621,115.5733,339.6,5.34,nominal,2024-01-17 06:20:00
-33.97714,115.56831,336.38,5.34,low,2024-01-17 06:20:00
-33.97806,115.56333,341.73,7.19,nominal,2024-01-17 06:20:00
-33.97899,115.55836,338.44,7.19,low,2024-01-17 06:20:00
-33.97992,115.55336,341.39,6.02,nominal,2024-01-17 06:20:00
-33.98085,115.54833,346.98,6.02,nominal,2024-01-17 06:20:00
-33.98178,115.54333,345.45,5.75,nominal,2024-01-17 06:20:00
-33.9827,115.53836,343.48,5.75,nominal,2024-01-17 06:20:00
-33.98362,115.5334,341.64,8.0,nominal,2024-01-17 06:20:00
-33.98455,115.52843,343.62,8.0,nominal,2024-01-17 06:20:00
-33.98547,115.52343,346.66,14.49,nominal,2024-01-17 06:20:00
-33.9864,115.51842,340.93,14.49,nominal,2024-01-17 06:20:00
-33.98733,115.51344,342.2,22.53,nominal,2024-01-17 06:20:00
-33.98824,115.5085,343.71,22.53,nominal,2024-01-17 06:20:00
-33.98916,115.50356,347.25,6.47,nominal,2024-01-17 06:20:00
-33.99007,115.49862,331.41,6.47,low,2024-01-17 06:20:00
-33.98189,115.52246,367.0,14.49,high,2024-01-17 06:20:00
-33.98282,115.51746,367.0,14.49,high,2024-01-17 06:20:00
-33.97727,115.54735,335.58,6.02,low,2024-01-17 06:20:00
-33.9782,115.54235,342.39,5.75,nominal,2024-01-17 06:20:00
-33.97912,115.53736,342.96,5.75,nominal,2024-01-17 06:20:00
-33.98005,115.53242,352.37,8.0,nominal,2024-01-17 06:20:00
-33.98096,115.52746,354.51,8.0,nominal,2024-01-17 06:20:00
-33.98375,115.51249,354.7,22.53,nominal,2024-01-17 06:20:00
-33.98466,115.50755,352.93,22.53,nominal,2024-01-17 06:20:00
-33.98558,115.50259,335.27,6.47,nominal,2024-01-17 06:20:00
-33.34793,116.0761,333.49,13.91,nominal,2024-01-17 06:20:00
-33.34895,116.07076,341.6,13.91,nominal,2024-01-17 06:20:00
-33.34422,116.07513,336.32,13.91,nominal,2024-01-17 06:20:00
-33.34525,116.06978,347.74,13.91,nominal,2024-01-17 06:20:00
-33.34154,116.06881,339.47,11.0,nominal,2024-01-17 06:20:00
-32.60628,117.43519,343.81,16.89,nominal,2024-01-17 06:20:00
-32.60715,117.43098,348.15,18.64,nominal,2024-01-17 06:20:00
-32.60314,117.42986,342.2,18.64,nominal,2024-01-17 06:20:00
-32.72524,116.58003,336.27,64.75,nominal,2024-01-17 06:20:00
-32.72253,116.57321,336.75,64.75,low,2024-01-17 06:20:00
-32.71762,116.57772,355.35,13.94,nominal,2024-01-17 06:20:00
-32.71872,116.5721,338.2,13.94,nominal,2024-01-17 06:20:00
-32.71379,116.57663,343.3,13.94,nominal,2024-01-17 06:20:00
-30.457,115.34627,337.12,8.59,low,2024-01-17 06:20:00
-30.45411,115.34322,337.35,6.47,low,2024-01-17 06:20:00
-34.03859,115.52502,340.76,98.22,nominal,2024-01-17 06:20:00
-34.03501,115.52404,343.88,118.42,nominal,2024-01-17 06:20:00
-34.03235,115.51818,367.0,118.42,high,2024-01-17 06:20:00
-34.02958,115.53292,339.68,10.5,nominal,2024-01-17 06:20:00
-34.03143,115.52309,342.6,118.42,nominal,2024-01-17 06:20:00
-34.03327,115.51329,333.47,7.88,nominal,2024-01-17 06:20:00
-34.03477,115.52116,367.0,322.74,high,2024-01-17 06:20:00
-34.02847,115.535,355.61,174.54,nominal,2024-01-17 06:20:00
-34.02938,115.53001,355.15,174.54,nominal,2024-01-17 06:20:00
-34.03209,115.51527,337.57,77.03,nominal,2024-01-17 06:20:00
-34.03119,115.5202,367.0,142.24,low,2024-01-17 06:20:00
-34.02489,115.53404,367.0,174.54,high,2024-01-17 06:20:00
-34.0203,115.55898,342.51,40.75,nominal,2024-01-17 06:20:00
-34.02396,115.53904,351.03,17.85,nominal,2024-01-17 06:20:00
-34.0258,115.52907,367.0,174.54,low,2024-01-17 06:20:00
-34.02761,115.51922,367.0,142.24,low,2024-01-17 06:20:00
-34.02852,115.51429,367.0,77.03,low,2024-01-17 06:20:00
-34.02038,115.5381,367.0,201.67,high,2024-01-17 06:20:00
-34.02313,115.52314,367.0,90.09,high,2024-01-17 06:20:00
-34.01671,115.55806,341.85,45.49,nominal,2024-01-17 06:20:00
-34.02494,115.51332,347.31,33.7,nominal,2024-01-17 06:20:00
-34.0213,115.53309,367.0,366.98,low,2024-01-17 06:20:00
-34.02222,115.5281,367.0,366.98,low,2024-01-17 06:20:00
-34.02404,115.51824,367.0,90.09,low,2024-01-17 06:20:00
-34.01955,115.52216,367.0,90.09,high,2024-01-17 06:20:00
-34.02136,115.51234,367.0,33.7,high,2024-01-17 06:20:00
-34.02319,115.50237,367.0,16.61,high,2024-01-17 06:20:00
-34.02411,115.49739,367.0,16.61,high,2024-01-17 06:20:00
-34.02501,115.49246,367.0,19.61,high,2024-01-17 06:20:00
-34.01587,115.54214,350.89,201.67,nominal,2024-01-17 06:20:00
-34.02045,115.51726,352.79,90.09,nominal,2024-01-17 06:20:00
-34.02228,115.50735,346.48,33.7,nominal,2024-01-17 06:20:00
-34.01772,115.53214,367.0,366.98,low,2024-01-17 06:20:00
-34.01863,115.52715,367.0,366.98,low,2024-01-17 06:20:00
-34.01505,115.52619,367.0,239.1,high,2024-01-17 06:20:00
-34.01778,115.51135,367.0,25.92,high,2024-01-17 06:20:00
-34.0187,115.50636,367.0,25.92,high,2024-01-17 06:20:00
-34.02053,115.49641,367.0,30.86,high,2024-01-17 06:20:00
-34.01688,115.51627,349.88,65.87,nominal,2024-01-17 06:20:00
-34.01962,115.50137,355.47,30.86,nominal,2024-01-17 06:20:00
-34.02144,115.49149,356.32,24.71,nominal,2024-01-17 06:20:00
-34.02234,115.48659,338.9,24.71,nominal,2024-01-17 06:20:00
-34.01229,115.54119,367.0,0.0,low,2024-01-17 06:20:00
-34.01321,115.53619,367.0,0.0,low,2024-01-17 06:20:00
-34.01413,115.5312,367.0,239.1,low,2024-01-17 06:20:00
-34.01597,115.5212,367.0,65.87,low,2024-01-17 06:20:00
-34.00871,115.54021,367.0,0.0,high,2024-01-17 06:20:00
